날짜,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5,기온(°C)
2021-10-03 14,0.003,0.4,0.065,0.011,31,20,28.6
2021-10-03 15,0.003,0.4,0.068,0.008,36,19,28.7
2021-10-03 16,0.004,0.4,0.068,0.009,36,21,27.9
2021-10-03 17,0.005,0.5,0.064,0.011,40,25,26.8
2021-10-03 18,0.004,0.3,0.058,0.01,35,19,25.8
2021-10-03 19,0.004,0.4,0.054,0.012,32,17,24.7
2021-10-03 20,0.004,0.5,0.043,0.019,34,19,23.6
2021-10-03 21,0.004,0.6,0.027,0.032,37,22,22.4
2021-10-03 22,0.003,0.7,0.01,0.046,38,22,21.6
2021-10-03 23,0.003,0.6,0.005,0.046,41,25,20.7
2021-10-03 24,0.003,0.7,0.002,0.048,39,24,20.2
2021-10-04 01,0.004,0.7,,0.046,39,25,19.5
2021-10-04 02,0.003,0.6,0.005,0.037,37,22,19.3
2021-10-04 03,0.003,0.5,0.011,0.03,35,19,19.4
2021-10-04 04,0.004,0.5,0.01,0.027,34,20,19.6
2021-10-04 05,0.003,0.5,0.008,0.029,34,23,19.9
2021-10-04 06,0.003,0.5,0.004,0.029,34,20,20.2
2021-10-04 07,0.003,0.5,0.003,0.03,34,21,20.3
2021-10-04 08,0.004,0.5,0.005,0.037,33,19,20.7
2021-10-04 09,0.004,0.4,0.017,0.03,38,22,21.3
2021-10-04 10,0.003,0.3,0.027,0.02,39,24,22.1
2021-10-04 11,0.003,0.4,0.025,0.02,42,25,23.4
2021-10-04 12,0.003,0.3,0.03,0.017,41,22,24.3
2021-10-04 13,0.003,0.3,0.033,0.015,41,22,24.5
2021-10-04 14,0.003,0.3,0.031,0.015,38,18,25.4
2021-10-04 15,0.004,0.3,0.038,0.006,40,16,25.5
2021-10-04 16,0.003,0.2,0.036,0.006,36,14,25.4
2021-10-04 17,0.003,0.2,0.033,0.007,38,14,25.3
2021-10-04 18,0.003,0.2,0.03,0.008,36,14,24.1
2021-10-04 19,0.003,0.2,0.029,0.009,36,15,24
2021-10-04 20,0.003,0.2,0.031,0.007,34,12,23.9
2021-10-04 21,0.003,0.3,0.033,0.008,35,14,24
2021-10-04 22,0.003,0.3,0.036,0.006,35,13,24.1
2021-10-04 23,0.003,0.2,0.037,0.006,37,13,24.1
2021-10-04 24,0.003,0.2,0.04,0.005,36,13,24.1
2021-10-05 01,0.003,0.3,0.041,0.004,38,14,23.9
2021-10-05 02,0.004,0.4,0.04,0.005,37,14,23.7
2021-10-05 03,0.004,0.4,0.04,0.005,42,16,23.5
2021-10-05 04,0.004,0.4,0.039,0.006,41,15,23.3
2021-10-05 05,0.004,0.4,0.04,0.005,42,16,23.2
2021-10-05 06,0.004,0.4,0.036,0.008,42,15,23.2
2021-10-05 07,0.003,0.4,0.033,0.011,44,17,22.9
2021-10-05 08,0.004,0.4,0.028,0.017,41,15,23.3
2021-10-05 09,0.004,0.4,0.024,0.02,43,15,23.6
2021-10-05 10,0.003,0.3,0.026,0.019,40,16,24
2021-10-05 11,0.003,0.3,0.032,0.015,39,17,24.4
2021-10-05 12,0.004,0.3,0.042,0.01,36,16,25.4
2021-10-05 13,0.004,0.3,0.054,0.01,37,15,25.7
2021-10-05 14,0.003,0.3,0.052,0.01,37,14,26.4
2021-10-05 15,0.003,0.2,0.042,0.012,39,16,25.5
2021-10-05 16,0.003,0.2,0.035,0.015,41,17,25.4
2021-10-05 17,0.003,0.2,0.034,0.015,37,17,24.8
2021-10-05 18,0.003,0.3,0.029,0.018,38,15,23.5
2021-10-05 19,0.004,0.3,0.033,0.013,40,14,23.2
2021-10-05 20,0.003,0.3,0.033,0.012,39,15,22.7
2021-10-05 21,0.003,0.3,0.023,0.019,42,18,22.5
2021-10-05 22,0.003,0.3,0.025,0.017,36,14,22.1
2021-10-05 23,0.003,0.4,0.019,0.019,30,15,22.1
2021-10-05 24,0.003,0.3,0.012,0.019,19,8,21.7
2021-10-06 01,0.003,0.3,0.019,0.013,12,6,21.5
2021-10-06 02,0.003,0.3,0.014,0.014,13,5,21.2
2021-10-06 03,0.003,0.3,0.011,0.012,8,5,20.3
2021-10-06 04,0.003,0.3,0.016,0.008,11,3,19.3
2021-10-06 05,0.003,0.2,0.021,0.007,7,2,18.9
2021-10-06 06,0.003,0.2,0.023,0.008,3,1,18.5
2021-10-06 07,0.003,0.2,0.018,0.012,5,1,18.2
2021-10-06 08,0.003,0.3,0.014,0.017,3,1,18.1
2021-10-06 09,0.003,0.3,0.014,0.018,3,1,18
2021-10-06 10,0.003,0.3,0.01,0.021,5,1,18
2021-10-06 11,0.003,0.3,0.012,0.02,6,1,18
2021-10-06 12,0.002,0.3,0.01,0.022,5,1,18.2
2021-10-06 13,0.002,0.3,0.01,0.023,8,3,18.4
2021-10-06 14,0.003,0.3,0.011,0.021,6,1,18.4
2021-10-06 15,0.003,0.3,0.008,0.024,7,1,18.6
2021-10-06 16,0.003,0.3,0.013,0.018,6,1,19.3
2021-10-06 17,0.003,0.3,0.017,0.015,5,1,19.9
2021-10-06 18,0.003,0.3,0.013,0.016,7,1,19.2
2021-10-06 19,0.003,0.3,0.009,0.021,11,6,18.6
2021-10-06 20,0.002,0.3,0.011,0.018,10,3,18.4
2021-10-06 21,0.003,0.3,0.014,0.014,9,3,18.7
2021-10-06 22,0.003,0.3,0.014,0.015,6,1,18.7
2021-10-06 23,0.003,0.3,0.011,0.017,7,1,18.7
2021-10-06 24,0.003,0.3,0.008,0.018,7,1,18.8
2021-10-07 01,0.003,0.3,0.009,0.017,8,4,18.8
2021-10-07 02,0.003,0.3,0.009,0.015,7,2,18.8
2021-10-07 03,0.003,0.3,0.01,0.014,6,3,18.8
2021-10-07 04,0.003,0.3,0.009,0.014,8,2,18.9
2021-10-07 05,0.003,0.3,0.01,0.013,9,3,18.8
2021-10-07 06,0.003,0.3,0.002,0.021,9,3,18.4
2021-10-07 07,0.003,0.3,0.001,0.025,9,5,18.4
2021-10-07 08,0.003,0.3,,0.026,11,4,18.6
2021-10-07 09,0.003,0.4,0.001,0.027,13,7,19
2021-10-07 10,0.003,0.5,0.001,0.029,15,6,19.7
2021-10-07 11,0.003,0.4,0.005,0.03,21,9,20
2021-10-07 12,0.003,0.4,0.013,0.026,14,7,20.6
2021-10-07 13,0.003,0.3,0.023,0.019,12,7,21.3
2021-10-07 14,0.003,0.3,0.028,0.017,15,7,21.8
2021-10-07 15,0.003,0.4,0.02,0.026,20,10,21.4
2021-10-07 16,0.003,0.4,0.024,0.021,22,12,21.1
2021-10-07 17,0.003,0.4,0.022,0.024,29,13,20.9
2021-10-07 18,0.004,0.4,0.022,0.025,25,13,20.1
2021-10-07 19,0.003,0.4,0.023,0.024,25,13,19.5
2021-10-07 20,0.003,0.4,0.025,0.023,22,10,19.2
2021-10-07 21,0.003,0.4,0.028,0.017,22,10,19
2021-10-07 22,0.003,0.4,0.024,0.02,18,9,18.6
2021-10-07 23,0.003,0.4,0.029,0.016,16,10,18.2
2021-10-07 24,0.003,0.4,0.036,0.01,13,7,17.9
2021-10-08 01,0.003,0.4,0.03,0.012,13,4,17.7
2021-10-08 02,0.003,0.4,0.025,0.015,14,6,17.7
2021-10-08 03,0.003,0.4,0.021,0.015,15,7,17.7
2021-10-08 04,0.003,0.5,0.006,0.027,17,8,17.6
2021-10-08 05,0.003,0.4,0.002,0.024,21,12,17.5
2021-10-08 06,0.003,0.4,0.003,0.025,21,9,17.5
2021-10-08 07,0.003,0.4,0.001,0.027,19,10,17.5
2021-10-08 08,0.003,0.5,0.001,0.027,21,9,17.9
2021-10-08 09,0.003,0.5,0.001,0.027,23,13,18.6
2021-10-08 10,0.003,0.5,0.003,0.027,26,12,19.2
2021-10-08 11,0.004,0.5,0.002,0.029,31,17,19.3
2021-10-08 12,0.003,0.6,0.003,0.031,29,16,19.6
2021-10-08 13,0.003,0.5,0.003,0.031,29,20,19.8
2021-10-08 14,0.003,0.5,0.003,0.029,27,16,20
2021-10-08 15,0.003,0.5,0.002,0.029,26,14,19.8
2021-10-08 16,0.003,0.4,0.005,0.025,20,11,19.7
2021-10-08 17,0.003,0.4,0.004,0.027,17,10,19.6
2021-10-08 18,0.003,0.4,0.005,0.028,17,10,19.3
2021-10-08 19,0.003,0.4,0.002,0.029,15,7,19.1
